venue,pool,created_at,locked_liquidity_percentage,basis,admin_change_risk,earliest_unlock_at,reasons
meteora-dlmm,3D3gdE31gY64nFGreG4Fc83mi2pHStePSky3UFdG4dqJ,2026-09-21T05:53:33+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,HCXWfFXnH2eL5NyPVoNwUwmJVQEPrm85bav7Y8HdRdgb,2026-09-21T05:46:42+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,2UvYWfRAgrkwwFAmtTYaPD7tVh9kFFDyaNXYjy5F8oqN,2026-09-21T05:44:48+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,72Q1SaNJDisTsCLQnFV4YEFG3TUNEDRqXkrKEK43nqBc,2026-09-21T05:31:02+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['creation_history_page_budget']
meteora-dlmm,9XZRFew8iTa6V6GMhz87SvH5AFYRPVkNY1Z258zuiRU7,2026-09-21T05:10:40+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,7FE7UpSnDBfxKbQT4VwFS9jabC2XDAssXMNjq9cwgKkD,2026-09-21T05:02:52+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,8JVdQvTjttYeAeKwpWWPeTHYuJmXKLBc1HQXi3VeCbCM,2026-09-21T04:48:54+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,HbuqoK5nnmhZYSTqhBeHt7RKib2FYN3LLDJPCyGfvZiC,2026-09-21T04:46:15+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
meteora-dlmm,wXtCM1S9ViYybfXPRA2aAQiXniE4wwRLh2zTvCHci2x,2026-09-21T04:13:12+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['creation_history_page_budget']
meteora-dlmm,A4EvtGYx3eiTcL1hZrQc5REWX4wreo1tsDCMgrm2aGNw,2026-09-21T04:09:41+00:00,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_all_bin_principal_not_verified']
cetus-clmm,0xa35f66912b90c530171ea8021783aa7a30310667a246b8197539ad240d6fe065,2026-09-19T11:06:59.831Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x3b7cd9fd9be99665beca0c5876e7748947382856f8533e0c1cb814d874ac1256,2026-09-19T13:14:59.347Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xb2f0f90e92c8d29f9e1766934a0e0f11bfe3b587ffa4db7d549eea4ac4b20c80,2026-09-19T13:35:36.713Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x029e935142216d1f3d0ff4ea3044219ea21ef44e45da890d134222cf25af3838,2026-09-19T16:39:59.279Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xe7c62d0f2228a15556c9c6a542c40d1da6d378ad201b1cd3b403b9dfda9a043a,2026-09-19T19:56:57.804Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xae14373720b44d6827edf102140de47776e48f5531631ae94d58115785ea1b82,2026-09-19T20:14:32.450Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xa29a4ab6c6029085ba818f121154099a4ea2d94674c6ff71167c562495fd453c,2026-09-19T20:34:37.222Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xcc9a57d5e74b3d2e57e3d63403b7818804eb4560cde17b33fb2534d182d5c413,2026-09-19T20:57:37.237Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xb30c202dd0f1e43b8be0cba3d372ac333e3e3c1f99adece6a111dc6a0e2a8f22,2026-09-20T02:24:51.383Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x0d1ad4a350d896cf4927b9e83d825ef71862bde7499c3f41bba00738dcae7ec5,2026-09-20T02:41:27.238Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x053412ea24c38bd51e428bfdd5686b1611d91c30df76880c508dfafdbdce1787,2026-09-20T03:35:58.081Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x9ed4e71f56a74677860c7e015ac8126d18053106e156cb8bfcdf94dec77c413e,2026-09-20T03:43:59.774Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x2afc33dbcd69f4833e5ccde3881b9f3d764e55c51fd65d3871068d6dc2ae94c9,2026-09-20T03:49:02.192Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x0c3426fd593b4234d2776fe1b71a641836106322267903abbb546a8b3962940b,2026-09-20T03:58:54.451Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x6fc09f72fca1088528c6caa8f96a8b380a9bb12a4dafe811ed914722241cc4f1,2026-09-20T08:06:33.723Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'position_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xb36f68c90b84da8fdba66dcb30008112408f2a3c83756a1f051d8483219b3892,2026-09-20T10:58:55.307Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x17992daed7f8676530ee14b4fbbb9d2d7819e01c3970d4b7be24211fd65fe607,2026-09-20T14:54:52.782Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['position_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xe9857bbbe718b83908c5d5f861752e06d25c78b07b4c92bf283f158846f24ff3,2026-09-20T15:11:09.988Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x06a3705c6797604e2401a8b3b818162b7f32b90fc9c9db809fd1ac643114e1de,2026-09-20T20:11:18.492Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x1393795f9a23d2c41f0d1c760491111be1dacc86e82f41053ea48a9fe52b3a84,2026-09-21T01:21:47.937Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x7c2a102d4ae176727346ea732d7400a922d743ec0f46bfeee4e8d1008001e5a9,2026-09-21T01:22:02.907Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xaf69f16e9dd0afe3f7adf50f413c8bb35182ee5f0d306fcbe84a2e3c7d1bcdcf,2026-09-21T01:24:21.350Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x1f4082fca16445fec8add7dacfeb23398783fb329cb79f375b95addfe396b8c1,2026-09-21T01:32:24.515Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0x50a248ec551f6d7e56a21563f2560c041e1d523e99637c0721ff9f865cc23316,2026-09-21T01:35:40.928Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xbce3b0bbd3a6ffb438807b4971f5d899458d4aa308fbaaf968f7de24e09d3383,2026-09-21T01:52:52.178Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xbc72ddc13f1cff52c42cbe47366ebd0b100fd40248dc3e94b8381d100cc9ead3,2026-09-21T03:05:28.698Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xfa8d549455c9e204567ac35a27ae8ee6134775a8d758417af28b8b036e8e51e2,2026-09-21T04:06:47.632Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,['withdrawal_semantics_and_pool_principal_not_verified']
cetus-clmm,0xc67bb38e39f7b2991ec82b067d297b5efda0ce0256e2309f7ebf2418338494d2,2026-09-21T07:06:16.872Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0x02b959188edcaf5ae4bdfc127c8bcf707c2173b986452aa69df83b09301c1e76,2026-09-21T07:33:45.532Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
cetus-clmm,0xc2dcaf39fd9e34a6f5ec0df8db731b8050282a5622764b11edd7c17e215ee5df,2026-09-21T07:44:03.867Z,,whole_pool_principal_or_withdrawal_semantics_unverified,,,"['parent_object_not_returned', 'position_object_not_returned', 'withdrawal_semantics_and_pool_principal_not_verified']"
